Age Group,Type,Muscle,Exercise,No. of Reps/Duration,No. of Sets,Home,Experience,Health
6-12 years,Weight Loss,None,Jumping Jacks,15-20 reps,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Burpees,5-8 reps,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,High Knees,20-25 sec,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Squats,8-12 reps,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Push-ups,5-8 reps,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Plank,15-30 sec,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Bicycle Crunches,10-15 reps/side,2,Yes,Beginner,Yes
6-12 years,Weight Loss,None,Russian Twists,10-15 reps/side,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Jumping Jacks,25-30 reps,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Burpees,12-15 reps,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,High Knees,35-40 sec,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Mountain Climbers,20-25 reps/leg,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Squats,11-14 reps,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Lunges,8-12 reps/leg,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Push-ups,8-12 reps,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Plank,40-45 sec,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Beginner,Yes
13-18 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Jumping Jacks,30-35 reps,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Burpees,15-18 reps,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,High Knees,45-50 sec,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Squats,13-15 reps,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Lunges,15-18 reps/leg,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Push-ups,15-20 reps,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Plank,1-2 min,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Bicycle Crunches,20-25 reps/side,2,Yes,Beginner,Yes
19-35 years,Weight Loss,None,Russian Twists,20-25 reps/side,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Jumping Jacks,20-25 reps,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Burpees,10-12 reps,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,High Knees,30-35 sec,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Mountain Climbers,10-15 reps/leg,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Squats,9-11 reps,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Lunges,6-10 reps/leg,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Push-ups,6-9 reps,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Plank,45-50 sec,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Bicycle Crunches,15-20 reps/side,2,Yes,Beginner,Yes
36-60 years,Weight Loss,None,Russian Twists,15-20 reps/side,2,Yes,Beginner,Yes
Over 60 years,Weight Loss,None,Jumping Jacks,10-15 reps,2,Yes,Beginner,Yes
Over 60 years,Weight Loss,None,Burpees,5-7 reps,2,Yes,Beginner,Yes
Over 60 years,Weight Loss,None,High Knees,15-20 sec,2,Yes,Beginner,Yes
